,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__early_stopping,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,52.369902992248534,6.624601726768046,0.05449013710021973,0.009571716647071108,True,"(50,)",constant,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",0.9727103482722609,0.9830264930399641,0.985500740674238,0.9850612756060471,0.9804888988562459,0.9813575512897511,0.004673277987202931,11
1,57.75345149040222,12.624178450617826,0.047605466842651364,0.0022711977065577402,True,"(50,)",adaptive,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",0.9727103482722609,0.9830264930399641,0.985500740674238,0.9850612756060471,0.9804888988562459,0.9813575512897511,0.004673277987202931,11
2,60.98871922492981,5.417108546496252,0.07887482643127441,0.011582385091042641,True,"(100,)",constant,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant'}",0.9757754131763641,0.9851159880212755,0.9868980011626347,0.9869769523383308,0.9853955738733089,0.9840323857143828,0.004197434833558794,9
3,63.91945953369141,6.478845972052505,0.07385969161987305,0.003953895836642715,True,"(100,)",adaptive,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive'}",0.9757754131763641,0.9851159880212755,0.9868980011626347,0.9869769523383308,0.9853955738733089,0.9840323857143828,0.004197434833558794,9
4,86.72507066726685,25.329383620412887,0.14542417526245116,0.011471441191909616,True,"(200,)",constant,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'constant'}",0.9740607822650252,0.9878925970602689,0.9873893211698417,0.98676293622142,0.9871760380234956,0.9846563349480103,0.00531027335114896,7
5,79.21536235809326,20.555106844587897,0.14086241722106935,0.0035839221856619795,True,"(200,)",adaptive,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'adaptive'}",0.9740607822650252,0.9878925970602689,0.9873893211698417,0.98676293622142,0.9871760380234956,0.9846563349480103,0.00531027335114896,7
6,137.5016230583191,28.858771666314432,0.048050212860107425,0.002898950468089637,False,"(50,)",constant,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",0.9758992479840537,0.988058499932913,0.9868078614376738,0.9888625486424835,0.9877895492907165,0.9854835414575682,0.004836905573363196,5
7,169.34707431793214,53.76275561273078,0.04936861991882324,0.002668903042717946,False,"(50,)",adaptive,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",0.9758992479840537,0.988058499932913,0.9868078614376738,0.9888625486424835,0.9877895492907165,0.9854835414575682,0.004836905573363196,5
8,266.07209091186525,9.710005046959129,0.10872116088867187,0.027207082894569013,False,"(100,)",constant,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant'}",0.9791525347080903,0.9878582269440229,0.9900388618394603,0.990924129297626,0.9889579328535025,0.9873863371285404,0.004243582359124653,1
9,175.65654125213624,25.235026831355025,0.08591041564941407,0.0015180423160287922,False,"(100,)",adaptive,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive'}",0.9791525347080903,0.9878582269440229,0.9900388618394603,0.990924129297626,0.9889579328535025,0.9873863371285404,0.004243582359124653,1
10,233.75684666633606,45.62096414938396,0.1408367156982422,0.001984605389316906,False,"(200,)",constant,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'constant'}",0.9776386809996824,0.9887530125859144,0.9902921308101821,0.9906048675733715,0.989345509893455,0.987326840372521,0.004888922898956855,3
11,224.31516003608704,29.022758037308165,0.1530303478240967,0.02301842499750049,False,"(200,)",adaptive,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'adaptive'}",0.9776386809996824,0.9887530125859144,0.9902921308101821,0.9906048675733715,0.989345509893455,0.987326840372521,0.004888922898956855,3
